distribution,condition,quantile,value,unit,n_observations
speed,RUN,0.0,113.65012588176468,micron/s,17669
speed,RUN,0.001,114.13201690367976,micron/s,17669
speed,RUN,0.002,114.52692974400544,micron/s,17669
speed,RUN,0.003,114.8424764615648,micron/s,17669
speed,RUN,0.004,115.10850615186503,micron/s,17669
speed,RUN,0.005,115.48295665768967,micron/s,17669
speed,RUN,0.006,116.01450222599996,micron/s,17669
speed,RUN,0.007,116.36334759833875,micron/s,17669
speed,RUN,0.008,116.92655911591683,micron/s,17669
speed,RUN,0.009000000000000001,117.46833891996606,micron/s,17669
speed,RUN,0.01,117.81272765463157,micron/s,17669
speed,RUN,0.011,118.46183494935703,micron/s,17669
speed,RUN,0.012,118.8286017282774,micron/s,17669
speed,RUN,0.013000000000000001,119.1829515780329,micron/s,17669
speed,RUN,0.014,119.7842907821981,micron/s,17669
speed,RUN,0.015,120.1421313728146,micron/s,17669
speed,RUN,0.016,120.45319259019887,micron/s,17669
speed,RUN,0.017,121.11140901882875,micron/s,17669
speed,RUN,0.018000000000000002,121.4716322902025,micron/s,17669
speed,RUN,0.019,121.9286511614494,micron/s,17669
speed,RUN,0.02,122.41975334828665,micron/s,17669
speed,RUN,0.021,122.79032042512728,micron/s,17669
speed,RUN,0.022,123.16854128560054,micron/s,17669
speed,RUN,0.023,123.70366304549036,micron/s,17669
speed,RUN,0.024,124.15921958292762,micron/s,17669
speed,RUN,0.025,124.45391741060678,micron/s,17669
speed,RUN,0.026000000000000002,124.84952901590246,micron/s,17669
speed,RUN,0.027,125.08089777614339,micron/s,17669
speed,RUN,0.028,125.39151902603601,micron/s,17669
speed,RUN,0.029,125.80582079121663,micron/s,17669
speed,RUN,0.03,126.27570111836022,micron/s,17669
speed,RUN,0.031,126.61142098179177,micron/s,17669
speed,RUN,0.032,127.00941365028316,micron/s,17669
speed,RUN,0.033,127.32327532252305,micron/s,17669
speed,RUN,0.034,127.87366752273407,micron/s,17669
speed,RUN,0.035,128.43232248253804,micron/s,17669
speed,RUN,0.036000000000000004,128.77079842080914,micron/s,17669
speed,RUN,0.037,129.24187126372303,micron/s,17669
speed,RUN,0.038,129.5745933626713,micron/s,17669
speed,RUN,0.039,129.79692715624088,micron/s,17669
speed,RUN,0.04,130.22042101110227,micron/s,17669
speed,RUN,0.041,130.54104731502377,micron/s,17669
speed,RUN,0.042,130.99431161915425,micron/s,17669
speed,RUN,0.043000000000000003,131.45636745333533,micron/s,17669
speed,RUN,0.044,131.80956992969396,micron/s,17669
speed,RUN,0.045,132.17078013317018,micron/s,17669
speed,RUN,0.046,132.52336034888486,micron/s,17669
speed,RUN,0.047,132.914170106106,micron/s,17669
speed,RUN,0.048,133.43352708673407,micron/s,17669
speed,RUN,0.049,133.97923084581072,micron/s,17669
speed,RUN,0.05,134.3089600909447,micron/s,17669
speed,RUN,0.051000000000000004,134.6088230601324,micron/s,17669
speed,RUN,0.052000000000000005,134.83921881090802,micron/s,17669
speed,RUN,0.053,135.22458724441023,micron/s,17669
speed,RUN,0.054,135.51710293414706,micron/s,17669
speed,RUN,0.055,136.01391075044177,micron/s,17669
speed,RUN,0.056,136.38074640485087,micron/s,17669
speed,RUN,0.057,136.74836795731966,micron/s,17669
speed,RUN,0.058,137.1486968316924,micron/s,17669
speed,RUN,0.059000000000000004,137.466503883607,micron/s,17669
speed,RUN,0.06,137.93805789591184,micron/s,17669
speed,RUN,0.061,138.34693006134225,micron/s,17669
speed,RUN,0.062,138.61469312486742,micron/s,17669
speed,RUN,0.063,138.8663081534793,micron/s,17669
speed,RUN,0.064,139.19019720255463,micron/s,17669
speed,RUN,0.065,139.5951787954888,micron/s,17669
speed,RUN,0.066,139.98859140948534,micron/s,17669
speed,RUN,0.067,140.65413069424108,micron/s,17669
speed,RUN,0.068,141.15354971104586,micron/s,17669
speed,RUN,0.069,141.66543196804156,micron/s,17669
speed,RUN,0.07,141.89432271088742,micron/s,17669
speed,RUN,0.07100000000000001,142.28496570463275,micron/s,17669
speed,RUN,0.07200000000000001,142.557272025989,micron/s,17669
speed,RUN,0.073,142.816674555528,micron/s,17669
speed,RUN,0.074,143.1505946161463,micron/s,17669
speed,RUN,0.075,143.57908897831362,micron/s,17669
speed,RUN,0.076,143.9223899916712,micron/s,17669
speed,RUN,0.077,144.12885810234178,micron/s,17669
speed,RUN,0.078,144.44208469105806,micron/s,17669
speed,RUN,0.079,144.95816905500925,micron/s,17669
speed,RUN,0.08,145.28660383308858,micron/s,17669
speed,RUN,0.081,145.6007505383782,micron/s,17669
speed,RUN,0.082,145.84655519620316,micron/s,17669
speed,RUN,0.083,146.20035497330142,micron/s,17669
speed,RUN,0.084,146.48424163182202,micron/s,17669
speed,RUN,0.085,146.72909433488064,micron/s,17669
speed,RUN,0.08600000000000001,147.11933554412775,micron/s,17669
speed,RUN,0.08700000000000001,147.4791009044352,micron/s,17669
speed,RUN,0.088,147.70720218136523,micron/s,17669
speed,RUN,0.089,148.07315001265616,micron/s,17669
speed,RUN,0.09,148.34839634478448,micron/s,17669
speed,RUN,0.091,148.76360438193896,micron/s,17669
speed,RUN,0.092,149.02631279582369,micron/s,17669
speed,RUN,0.093,149.34618381622332,micron/s,17669
speed,RUN,0.094,149.63678352427527,micron/s,17669
speed,RUN,0.095,149.81488893236994,micron/s,17669
speed,RUN,0.096,150.15156026108338,micron/s,17669
speed,RUN,0.097,150.43065692700054,micron/s,17669
speed,RUN,0.098,150.6716006023238,micron/s,17669
speed,RUN,0.099,150.9847100981169,micron/s,17669
speed,RUN,0.1,151.14391997528685,micron/s,17669
speed,RUN,0.101,151.49265051642445,micron/s,17669
speed,RUN,0.10200000000000001,151.71404489413763,micron/s,17669
speed,RUN,0.10300000000000001,152.00025000844465,micron/s,17669
speed,RUN,0.10400000000000001,152.35607377775585,micron/s,17669
speed,RUN,0.105,152.73162934305404,micron/s,17669
speed,RUN,0.106,153.12597698402033,micron/s,17669
speed,RUN,0.107,153.39378980760074,micron/s,17669
speed,RUN,0.108,153.66107428294626,micron/s,17669
speed,RUN,0.109,153.97608934593427,micron/s,17669
speed,RUN,0.11,154.29374337145128,micron/s,17669
speed,RUN,0.111,154.6153727239884,micron/s,17669
speed,RUN,0.112,155.00208852622941,micron/s,17669
speed,RUN,0.113,155.3062351008055,micron/s,17669
speed,RUN,0.114,155.55711779150673,micron/s,17669
speed,RUN,0.115,155.79244775134993,micron/s,17669
speed,RUN,0.116,156.0241509132507,micron/s,17669
speed,RUN,0.117,156.31172747128682,micron/s,17669
speed,RUN,0.11800000000000001,156.5155173002596,micron/s,17669
speed,RUN,0.11900000000000001,156.8173130233027,micron/s,17669
speed,RUN,0.12,157.0055137610757,micron/s,17669
speed,RUN,0.121,157.19272204636417,micron/s,17669
speed,RUN,0.122,157.56498833129749,micron/s,17669
speed,RUN,0.123,157.80578245893201,micron/s,17669
speed,RUN,0.124,158.08450685645715,micron/s,17669
speed,RUN,0.125,158.38198548500512,micron/s,17669
speed,RUN,0.126,158.69464232060727,micron/s,17669
speed,RUN,0.127,158.9705696166829,micron/s,17669
speed,RUN,0.128,159.30594388158687,micron/s,17669
speed,RUN,0.129,159.60770173563387,micron/s,17669
speed,RUN,0.13,159.83239556774663,micron/s,17669
speed,RUN,0.131,160.11748641789669,micron/s,17669
speed,RUN,0.132,160.36565830574565,micron/s,17669
speed,RUN,0.133,160.53474089145305,micron/s,17669
speed,RUN,0.134,160.73023757363913,micron/s,17669
speed,RUN,0.135,161.04018616795054,micron/s,17669
speed,RUN,0.136,161.26007045331835,micron/s,17669
speed,RUN,0.137,161.46130353271155,micron/s,17669
speed,RUN,0.138,161.63804499708615,micron/s,17669
speed,RUN,0.139,161.81869800314615,micron/s,17669
speed,RUN,0.14,162.053129345292,micron/s,17669
speed,RUN,0.14100000000000001,162.23678430796224,micron/s,17669
speed,RUN,0.14200000000000002,162.3599463847791,micron/s,17669
speed,RUN,0.14300000000000002,162.60407778997083,micron/s,17669
speed,RUN,0.14400000000000002,162.86230337229816,micron/s,17669
speed,RUN,0.145,163.09323839418985,micron/s,17669
speed,RUN,0.146,163.33881267221227,micron/s,17669
speed,RUN,0.147,163.5848162815131,micron/s,17669
speed,RUN,0.148,163.7374165078545,micron/s,17669
speed,RUN,0.149,163.8864646431681,micron/s,17669
speed,RUN,0.15,164.08798534400256,micron/s,17669
