distribution,condition,quantile,value,unit,n_observations
speed,RUN,0.0,146.56721172129502,micron/s,1284300
speed,RUN,0.001,147.28606191749213,micron/s,1284300
speed,RUN,0.002,148.00116030548176,micron/s,1284300
speed,RUN,0.003,148.71980587500104,micron/s,1284300
speed,RUN,0.004,149.41962680974618,micron/s,1284300
speed,RUN,0.005,150.08611220641882,micron/s,1284300
speed,RUN,0.006,150.75149505668853,micron/s,1284300
speed,RUN,0.007,151.38350498706515,micron/s,1284300
speed,RUN,0.008,152.03075062925058,micron/s,1284300
speed,RUN,0.009000000000000001,152.6424171019089,micron/s,1284300
speed,RUN,0.01,153.2503323728888,micron/s,1284300
speed,RUN,0.011,153.84264049677404,micron/s,1284300
speed,RUN,0.012,154.4133084364579,micron/s,1284300
speed,RUN,0.013000000000000001,154.96550413434846,micron/s,1284300
speed,RUN,0.014,155.5235126667271,micron/s,1284300
speed,RUN,0.015,156.05107012852878,micron/s,1284300
speed,RUN,0.016,156.57650661699364,micron/s,1284300
speed,RUN,0.017,157.08519323592162,micron/s,1284300
speed,RUN,0.018000000000000002,157.5972614616833,micron/s,1284300
speed,RUN,0.019,158.09412529621883,micron/s,1284300
speed,RUN,0.02,158.56694994233806,micron/s,1284300
speed,RUN,0.021,159.04476900781378,micron/s,1284300
speed,RUN,0.022,159.51637797734028,micron/s,1284300
speed,RUN,0.023,159.95114702397302,micron/s,1284300
speed,RUN,0.024,160.4118949328843,micron/s,1284300
speed,RUN,0.025,160.83843130131464,micron/s,1284300
speed,RUN,0.026000000000000002,161.25747277514841,micron/s,1284300
speed,RUN,0.027,161.68403495920123,micron/s,1284300
speed,RUN,0.028,162.12396164234673,micron/s,1284300
speed,RUN,0.029,162.53762270228694,micron/s,1284300
speed,RUN,0.03,162.94958294528575,micron/s,1284300
speed,RUN,0.031,163.36129351113075,micron/s,1284300
speed,RUN,0.032,163.7531057115707,micron/s,1284300
speed,RUN,0.033,164.15255374878248,micron/s,1284300
speed,RUN,0.034,164.53351764959328,micron/s,1284300
speed,RUN,0.035,164.93748077372382,micron/s,1284300
speed,RUN,0.036000000000000004,165.3182773597523,micron/s,1284300
speed,RUN,0.037,165.70494739970343,micron/s,1284300
speed,RUN,0.038,166.07224599474353,micron/s,1284300
speed,RUN,0.039,166.446593899681,micron/s,1284300
speed,RUN,0.04,166.79457447445748,micron/s,1284300
speed,RUN,0.041,167.14260396210594,micron/s,1284300
speed,RUN,0.042,167.48477007061564,micron/s,1284300
speed,RUN,0.043000000000000003,167.83210244331303,micron/s,1284300
speed,RUN,0.044,168.1787963690372,micron/s,1284300
speed,RUN,0.045,168.5301875689583,micron/s,1284300
speed,RUN,0.046,168.85759989708868,micron/s,1284300
speed,RUN,0.047,169.1918345721665,micron/s,1284300
speed,RUN,0.048,169.51924517975866,micron/s,1284300
speed,RUN,0.049,169.8446809846939,micron/s,1284300
speed,RUN,0.05,170.168378336554,micron/s,1284300
speed,RUN,0.051000000000000004,170.48681884762354,micron/s,1284300
speed,RUN,0.052000000000000005,170.8170685395645,micron/s,1284300
speed,RUN,0.053,171.13189861415452,micron/s,1284300
speed,RUN,0.054,171.45444381330373,micron/s,1284300
speed,RUN,0.055,171.7462506340239,micron/s,1284300
speed,RUN,0.056,172.01754532620188,micron/s,1284300
speed,RUN,0.057,172.29075447578006,micron/s,1284300
speed,RUN,0.058,172.5764827694552,micron/s,1284300
speed,RUN,0.059000000000000004,172.8532253837867,micron/s,1284300
speed,RUN,0.06,173.12029099634694,micron/s,1284300
speed,RUN,0.061,173.38893136524484,micron/s,1284300
speed,RUN,0.062,173.6511397382285,micron/s,1284300
speed,RUN,0.063,173.93094853105086,micron/s,1284300
speed,RUN,0.064,174.20043787610638,micron/s,1284300
speed,RUN,0.065,174.47798468109642,micron/s,1284300
speed,RUN,0.066,174.75346285611525,micron/s,1284300
speed,RUN,0.067,175.0134678805159,micron/s,1284300
speed,RUN,0.068,175.2753372132666,micron/s,1284300
speed,RUN,0.069,175.53626963740768,micron/s,1284300
speed,RUN,0.07,175.79057712799428,micron/s,1284300
speed,RUN,0.07100000000000001,176.0558426595746,micron/s,1284300
speed,RUN,0.07200000000000001,176.31422208563802,micron/s,1284300
speed,RUN,0.073,176.55023937717027,micron/s,1284300
speed,RUN,0.074,176.80356293410892,micron/s,1284300
speed,RUN,0.075,177.06037812531298,micron/s,1284300
speed,RUN,0.076,177.32260314146606,micron/s,1284300
speed,RUN,0.077,177.56682893802804,micron/s,1284300
speed,RUN,0.078,177.80276376576944,micron/s,1284300
speed,RUN,0.079,178.04896454189478,micron/s,1284300
speed,RUN,0.08,178.2887943447833,micron/s,1284300
speed,RUN,0.081,178.53155066475267,micron/s,1284300
speed,RUN,0.082,178.76906454446353,micron/s,1284300
speed,RUN,0.083,178.99887508591536,micron/s,1284300
speed,RUN,0.084,179.24822616603916,micron/s,1284300
speed,RUN,0.085,179.48550716551242,micron/s,1284300
speed,RUN,0.08600000000000001,179.71267574789005,micron/s,1284300
speed,RUN,0.08700000000000001,179.94244131780655,micron/s,1284300
speed,RUN,0.088,180.15869265957988,micron/s,1284300
speed,RUN,0.089,180.38599351504294,micron/s,1284300
speed,RUN,0.09,180.60880871307097,micron/s,1284300
speed,RUN,0.091,180.83759676701172,micron/s,1284300
speed,RUN,0.092,181.05719274676798,micron/s,1284300
speed,RUN,0.093,181.27417234502607,micron/s,1284300
speed,RUN,0.094,181.49358053208488,micron/s,1284300
speed,RUN,0.095,181.71586830476994,micron/s,1284300
speed,RUN,0.096,181.9351744433769,micron/s,1284300
speed,RUN,0.097,182.16117548314756,micron/s,1284300
speed,RUN,0.098,182.3782694090703,micron/s,1284300
speed,RUN,0.099,182.58990695994456,micron/s,1284300
speed,RUN,0.1,182.79752081929118,micron/s,1284300
speed,RUN,0.101,183.01828637558103,micron/s,1284300
