section,parameter,value,unit,rationale
0_simulation_scale,time_step,0.07,s,Natural local update interval inferred from the acquisition.
0_simulation_scale,continuous_position,true,boolean,Agents move in continuous coordinates; the lattice is used for display and local interactions.
0_simulation_scale,microns_per_cell,10.0,micron/cell,Configurable conversion between physical distance and lattice units.
0_simulation_scale,initialization_scheme,stratified_midpoint_quantiles,categorical,"For N agents, use u_i=(i+1/2)/N and randomly permute assignments."
0_simulation_scale,initial_heading_distribution,uniform_0_2pi,categorical,"Initial headings are stratified over [0,2pi) and randomly permuted."
1_motion_states,run_stop_speed_threshold,171.56551240101095,micron/s,Otsu fallback
1_motion_states,hysteresis_half_width,25.0,micron/s,Selected symmetric half-width used for state assignment.
1_motion_states,stop_to_run_threshold,196.56551240101095,micron/s,A STOP state switches to RUN only at or above this speed.
1_motion_states,run_to_stop_threshold,146.56551240101095,micron/s,A RUN state switches to STOP below this speed.
1_motion_states,initial_run_fraction,0.7152209009566908,fraction,Observed occupancy used to initialize the population.
1_motion_states,initial_stop_fraction,0.2847790990433092,fraction,Observed occupancy used to initialize the population.
1_motion_states,P_STOP_to_STOP,0.8713473202464687,probability/update,Empirical local transition probability.
1_motion_states,P_STOP_to_RUN,0.1286526797535314,probability/update,Empirical local transition probability.
1_motion_states,P_RUN_to_STOP,0.04848768017352823,probability/update,Empirical local transition probability.
1_motion_states,P_RUN_to_RUN,0.9515123198264718,probability/update,Empirical local transition probability.
2_episode_statistics,run_duration_median,0.6300000000000001,s,Observed contiguous-state duration; descriptive consequence of the Markov chain.
2_episode_statistics,run_length_median,139.15258626015503,micron,Observed distance covered within a contiguous state episode.
2_episode_statistics,run_duration_q25,0.21000000000000002,s,Observed contiguous-state duration; descriptive consequence of the Markov chain.
2_episode_statistics,run_length_q25,41.188252406604605,micron,Observed distance covered within a contiguous state episode.
2_episode_statistics,run_duration_q75,1.2600000000000007,s,Observed contiguous-state duration; descriptive consequence of the Markov chain.
2_episode_statistics,run_length_q75,289.21809386114165,micron,Observed distance covered within a contiguous state episode.
2_episode_statistics,run_duration_q90,2.030000000000001,s,Observed contiguous-state duration; descriptive consequence of the Markov chain.
2_episode_statistics,run_length_q90,473.65350715825474,micron,Observed distance covered within a contiguous state episode.
2_episode_statistics,stop_duration_median,0.21000000000000002,s,Observed contiguous-state duration; descriptive consequence of the Markov chain.
2_episode_statistics,stop_length_median,22.347789225313605,micron,Observed distance covered within a contiguous state episode.
2_episode_statistics,stop_duration_q25,0.07,s,Observed contiguous-state duration; descriptive consequence of the Markov chain.
2_episode_statistics,stop_length_q25,9.74304101960481,micron,Observed distance covered within a contiguous state episode.
2_episode_statistics,stop_duration_q75,0.56,s,Observed contiguous-state duration; descriptive consequence of the Markov chain.
2_episode_statistics,stop_length_q75,63.611374739136394,micron,Observed distance covered within a contiguous state episode.
2_episode_statistics,stop_duration_q90,1.3300000000000007,s,Observed contiguous-state duration; descriptive consequence of the Markov chain.
